No.,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd,Total
#0050,Diglett (/pokemon/diglett),ground,Sand Veil (/abilitydex/sandveil.shtml) | Arena Trap (/abilitydex/arenatrap.shtml) | Sand Force (/abilitydex/sandforce.shtml),10,55,25,35,45,95,265
#0051,Dugtrio (/pokemon/dugtrio),ground,Sand Veil (/abilitydex/sandveil.shtml) | Arena Trap (/abilitydex/arenatrap.shtml) | Sand Force (/abilitydex/sandforce.shtml),35,100,50,50,70,120,425
#0052,Meowth (/pokemon/meowth),normal,Pickup (/abilitydex/pickup.shtml) | Technician (/abilitydex/technician.shtml) | Unnerve (/abilitydex/unnerve.shtml),40,45,35,40,40,90,290
#0053,Persian (/pokemon/persian),normal,Limber (/abilitydex/limber.shtml) | Technician (/abilitydex/technician.shtml) | Unnerve (/abilitydex/unnerve.shtml),65,70,60,65,65,115,440
#0054,Psyduck (/pokemon/psyduck),water,Damp (/abilitydex/damp.shtml) | Cloud Nine (/abilitydex/cloudnine.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),50,52,48,65,50,55,320
#0055,Golduck (/pokemon/golduck),water,Damp (/abilitydex/damp.shtml) | Cloud Nine (/abilitydex/cloudnine.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),80,82,78,95,80,85,500
#0056,Mankey (/pokemon/mankey),fighting,Vital Spirit (/abilitydex/vitalspirit.shtml) | Anger Point (/abilitydex/angerpoint.shtml) | Defiant (/abilitydex/defiant.shtml),40,80,35,35,45,70,305
#0057,Primeape (/pokemon/primeape),fighting,Vital Spirit (/abilitydex/vitalspirit.shtml) | Anger Point (/abilitydex/angerpoint.shtml) | Defiant (/abilitydex/defiant.shtml),65,105,60,60,70,95,455
#0058,Growlithe (/pokemon/growlithe),fire,Intimidate (/abilitydex/intimidate.shtml) | Flash Fire (/abilitydex/flashfire.shtml) | Justified (/abilitydex/justified.shtml),55,70,45,70,50,60,350
#0059,Arcanine (/pokemon/arcanine),fire,Intimidate (/abilitydex/intimidate.shtml) | Flash Fire (/abilitydex/flashfire.shtml) | Justified (/abilitydex/justified.shtml),90,110,80,100,80,95,555
#0060,Poliwag (/pokemon/poliwag),water,Water Absorb (/abilitydex/waterabsorb.shtml) | Damp (/abilitydex/damp.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),40,50,40,40,40,90,300
#0061,Poliwhirl (/pokemon/poliwhirl),water,Water Absorb (/abilitydex/waterabsorb.shtml) | Damp (/abilitydex/damp.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),65,65,65,50,50,90,385
#0062,Poliwrath (/pokemon/poliwrath),water | fighting,Water Absorb (/abilitydex/waterabsorb.shtml) | Damp (/abilitydex/damp.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),90,95,95,70,90,70,510
#0063,Abra (/pokemon/abra),psychic,Synchronize (/abilitydex/synchronize.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Magic Guard (/abilitydex/magicguard.shtml),25,20,15,105,55,90,310
#0064,Kadabra (/pokemon/kadabra),psychic,Synchronize (/abilitydex/synchronize.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Magic Guard (/abilitydex/magicguard.shtml),40,35,30,120,70,105,400
#0065,Alakazam (/pokemon/alakazam),psychic,Synchronize (/abilitydex/synchronize.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Magic Guard (/abilitydex/magicguard.shtml),55,50,45,135,95,120,500
#0066,Machop (/pokemon/machop),fighting,Guts (/abilitydex/guts.shtml) | No Guard (/abilitydex/noguard.shtml) | Steadfast (/abilitydex/steadfast.shtml),70,80,50,35,35,35,305
#0067,Machoke (/pokemon/machoke),fighting,Guts (/abilitydex/guts.shtml) | No Guard (/abilitydex/noguard.shtml) | Steadfast (/abilitydex/steadfast.shtml),80,100,70,50,60,45,405
#0068,Machamp (/pokemon/machamp),fighting,Guts (/abilitydex/guts.shtml) | No Guard (/abilitydex/noguard.shtml) | Steadfast (/abilitydex/steadfast.shtml),90,130,80,65,85,55,505
#0069,Bellsprout (/pokemon/bellsprout),grass | poison,Chlorophyll (/abilitydex/chlorophyll.shtml) | Gluttony (/abilitydex/gluttony.shtml),50,75,35,70,30,40,300
#0070,Weepinbell (/pokemon/weepinbell),grass | poison,Chlorophyll (/abilitydex/chlorophyll.shtml) | Gluttony (/abilitydex/gluttony.shtml),65,90,50,85,45,55,390
#0071,Victreebel (/pokemon/victreebel),grass | poison,Chlorophyll (/abilitydex/chlorophyll.shtml) | Gluttony (/abilitydex/gluttony.shtml),80,105,65,100,70,70,490
#0072,Tentacool (/pokemon/tentacool),water | poison,Clear Body (/abilitydex/clearbody.shtml) | Liquid Ooze (/abilitydex/liquidooze.shtml) | Rain Dish (/abilitydex/raindish.shtml),40,40,35,50,100,70,335
#0073,Tentacruel (/pokemon/tentacruel),water | poison,Clear Body (/abilitydex/clearbody.shtml) | Liquid Ooze (/abilitydex/liquidooze.shtml) | Rain Dish (/abilitydex/raindish.shtml),80,70,65,80,120,100,515
#0074,Geodude (/pokemon/geodude),rock | ground,Rock Head (/abilitydex/rockhead.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Sand Veil (/abilitydex/sandveil.shtml),40,80,100,30,30,20,300
#0075,Graveler (/pokemon/graveler),rock | ground,Rock Head (/abilitydex/rockhead.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Sand Veil (/abilitydex/sandveil.shtml),55,95,115,45,45,35,390
#0076,Golem (/pokemon/golem),rock | ground,Rock Head (/abilitydex/rockhead.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Sand Veil (/abilitydex/sandveil.shtml),80,120,130,55,65,45,495
#0077,Ponyta (/pokemon/ponyta),fire,Run Away (/abilitydex/runaway.shtml) | Flash Fire (/abilitydex/flashfire.shtml) | Flame Body (/abilitydex/flamebody.shtml),50,85,55,65,65,90,410
#0078,Rapidash (/pokemon/rapidash),fire,Run Away (/abilitydex/runaway.shtml) | Flash Fire (/abilitydex/flashfire.shtml) | Flame Body (/abilitydex/flamebody.shtml),65,100,70,80,80,105,500
#0079,Slowpoke (/pokemon/slowpoke),water | psychic,Oblivious (/abilitydex/oblivious.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Regenerator (/abilitydex/regenerator.shtml),90,65,65,40,40,15,315
#0080,Slowbro (/pokemon/slowbro),water | psychic,Oblivious (/abilitydex/oblivious.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Regenerator (/abilitydex/regenerator.shtml),95,75,110,100,80,30,490
#0081,Magnemite (/pokemon/magnemite),electric | steel,Magnet Pull (/abilitydex/magnetpull.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Analytic (/abilitydex/analytic.shtml),25,35,70,95,55,45,325
#0082,Magneton (/pokemon/magneton),electric | steel,Magnet Pull (/abilitydex/magnetpull.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Analytic (/abilitydex/analytic.shtml),50,60,95,120,70,70,465
#0083,Farfetch'd (/pokemon/farfetch'd),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Defiant (/abilitydex/defiant.shtml),52,90,55,58,62,60,377
#0084,Doduo (/pokemon/doduo),normal | flying,Run Away (/abilitydex/runaway.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Tangled Feet (/abilitydex/tangledfeet.shtml),35,85,45,35,35,75,310
#0085,Dodrio (/pokemon/dodrio),normal | flying,Run Away (/abilitydex/runaway.shtml) | Early Bird (/abilitydex/earlybird.shtml) | Tangled Feet (/abilitydex/tangledfeet.shtml),60,110,70,60,60,110,470
#0086,Seel (/pokemon/seel),water,Thick Fat (/abilitydex/thickfat.shtml) | Hydration (/abilitydex/hydration.shtml) | Ice Body (/abilitydex/icebody.shtml),65,45,55,45,70,45,325
#0087,Dewgong (/pokemon/dewgong),water | ice,Thick Fat (/abilitydex/thickfat.shtml) | Hydration (/abilitydex/hydration.shtml) | Ice Body (/abilitydex/icebody.shtml),90,70,80,70,95,70,475
#0088,Grimer (/pokemon/grimer),poison,Stench (/abilitydex/stench.shtml) | Sticky Hold (/abilitydex/stickyhold.shtml) | Poison Touch (/abilitydex/poisontouch.shtml),80,80,50,40,50,25,325
#0089,Muk (/pokemon/muk),poison,Stench (/abilitydex/stench.shtml) | Sticky Hold (/abilitydex/stickyhold.shtml) | Poison Touch (/abilitydex/poisontouch.shtml),105,105,75,65,100,50,500
#0090,Shellder (/pokemon/shellder),water,Shell Armor (/abilitydex/shellarmor.shtml) | Skill Link (/abilitydex/skilllink.shtml) | Overcoat (/abilitydex/overcoat.shtml),30,65,100,45,25,40,305
#0091,Cloyster (/pokemon/cloyster),water | ice,Shell Armor (/abilitydex/shellarmor.shtml) | Skill Link (/abilitydex/skilllink.shtml) | Overcoat (/abilitydex/overcoat.shtml),50,95,180,85,45,70,525
#0092,Gastly (/pokemon/gastly),ghost | poison,Levitate (/abilitydex/levitate.shtml),30,35,30,100,35,80,310
#0093,Haunter (/pokemon/haunter),ghost | poison,Levitate (/abilitydex/levitate.shtml),45,50,45,115,55,95,405
#0094,Gengar (/pokemon/gengar),ghost | poison,Cursed Body (/abilitydex/cursedbody.shtml),60,65,60,130,75,110,500
#0095,Onix (/pokemon/onix),rock | ground,Rock Head (/abilitydex/rockhead.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),35,45,160,30,45,70,385
#0096,Drowzee (/pokemon/drowzee),psychic,Insomnia (/abilitydex/insomnia.shtml) | Forewarn (/abilitydex/forewarn.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),60,48,45,43,90,42,328
#0097,Hypno (/pokemon/hypno),psychic,Insomnia (/abilitydex/insomnia.shtml) | Forewarn (/abilitydex/forewarn.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),85,73,70,73,115,67,483
#0098,Krabby (/pokemon/krabby),water,Hyper Cutter (/abilitydex/hypercutter.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),30,105,90,25,25,50,325
#0099,Kingler (/pokemon/kingler),water,Hyper Cutter (/abilitydex/hypercutter.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),55,130,115,50,50,75,475
#0100,Voltorb (/pokemon/voltorb),electric,Soundproof (/abilitydex/soundproof.shtml) | Static (/abilitydex/static.shtml) | Aftermath (/abilitydex/aftermath.shtml),40,30,50,55,55,100,330
#0101,Electrode (/pokemon/electrode),electric,Soundproof (/abilitydex/soundproof.shtml) | Static (/abilitydex/static.shtml) | Aftermath (/abilitydex/aftermath.shtml),60,50,70,80,80,150,490
#0102,Exeggcute (/pokemon/exeggcute),grass | psychic,Chlorophyll (/abilitydex/chlorophyll.shtml) | Harvest (/abilitydex/harvest.shtml),60,40,80,60,45,40,325
#0103,Exeggutor (/pokemon/exeggutor),grass | psychic,Chlorophyll (/abilitydex/chlorophyll.shtml) | Harvest (/abilitydex/harvest.shtml),95,95,85,125,75,55,530
#0104,Cubone (/pokemon/cubone),ground,Rock Head (/abilitydex/rockhead.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml) | Battle Armor (/abilitydex/battlearmor.shtml),50,50,95,40,50,35,320
#0105,Marowak (/pokemon/marowak),ground,Rock Head (/abilitydex/rockhead.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml) | Battle Armor (/abilitydex/battlearmor.shtml),60,80,110,50,80,45,425
#0106,Hitmonlee (/pokemon/hitmonlee),fighting,Limber (/abilitydex/limber.shtml) | Reckless (/abilitydex/reckless.shtml) | Unburden (/abilitydex/unburden.shtml),50,120,53,35,110,87,455
#0107,Hitmonchan (/pokemon/hitmonchan),fighting,Keen Eye (/abilitydex/keeneye.shtml) | Iron Fist (/abilitydex/ironfist.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),50,105,79,35,110,76,455
#0108,Lickitung (/pokemon/lickitung),normal,Own Tempo (/abilitydex/owntempo.shtml) | Oblivious (/abilitydex/oblivious.shtml) | Cloud Nine (/abilitydex/cloudnine.shtml),90,55,75,60,75,30,385
#0109,Koffing (/pokemon/koffing),poison,Levitate (/abilitydex/levitate.shtml) | Neutralizing Gas (/abilitydex/neutralizinggas.shtml) | Stench (/abilitydex/stench.shtml),40,65,95,60,45,35,340
#0110,Weezing (/pokemon/weezing),poison,Levitate (/abilitydex/levitate.shtml) | Neutralizing Gas (/abilitydex/neutralizinggas.shtml) | Stench (/abilitydex/stench.shtml),65,90,120,85,70,60,490
#0111,Rhyhorn (/pokemon/rhyhorn),ground | rock,Lightning Rod (/abilitydex/lightningrod.shtml) | Rock Head (/abilitydex/rockhead.shtml) | Reckless (/abilitydex/reckless.shtml),80,85,95,30,30,25,345
#0112,Rhydon (/pokemon/rhydon),ground | rock,Lightning Rod (/abilitydex/lightningrod.shtml) | Rock Head (/abilitydex/rockhead.shtml) | Reckless (/abilitydex/reckless.shtml),105,130,120,45,45,40,485
#0113,Chansey (/pokemon/chansey),normal,Natural Cure (/abilitydex/naturalcure.shtml) | Serene Grace (/abilitydex/serenegrace.shtml) | Healer (/abilitydex/healer.shtml),250,5,5,35,105,50,450
#0114,Tangela (/pokemon/tangela),grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Leaf Guard (/abilitydex/leafguard.shtml) | Regenerator (/abilitydex/regenerator.shtml),65,55,115,100,40,60,435
#0115,Kangaskhan (/pokemon/kangaskhan),normal,Early Bird (/abilitydex/earlybird.shtml) | Scrappy (/abilitydex/scrappy.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),105,95,80,40,80,90,490
#0116,Horsea (/pokemon/horsea),water,Swift Swim (/abilitydex/swiftswim.shtml) | Sniper (/abilitydex/sniper.shtml) | Damp (/abilitydex/damp.shtml),30,40,70,70,25,60,295
#0117,Seadra (/pokemon/seadra),water,Poison Point (/abilitydex/poisonpoint.shtml) | Sniper (/abilitydex/sniper.shtml) | Damp (/abilitydex/damp.shtml),55,65,95,95,45,85,440
#0118,Goldeen (/pokemon/goldeen),water,Swift Swim (/abilitydex/swiftswim.shtml) | Water Veil (/abilitydex/waterveil.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml),45,67,60,35,50,63,320
#0119,Seaking (/pokemon/seaking),water,Swift Swim (/abilitydex/swiftswim.shtml) | Water Veil (/abilitydex/waterveil.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml),80,92,65,65,80,68,450
#0120,Staryu (/pokemon/staryu),water,Illuminate (/abilitydex/illuminate.shtml) | Natural Cure (/abilitydex/naturalcure.shtml) | Analytic (/abilitydex/analytic.shtml),30,45,55,70,55,85,340
#0121,Starmie (/pokemon/starmie),water | psychic,Illuminate (/abilitydex/illuminate.shtml) | Natural Cure (/abilitydex/naturalcure.shtml) | Analytic (/abilitydex/analytic.shtml),60,75,85,100,85,115,520
#0122,Mr. Mime (/pokemon/mr.mime),psychic | fairy,Soundproof (/abilitydex/soundproof.shtml) | Filter (/abilitydex/filter.shtml) | Technician (/abilitydex/technician.shtml),40,45,65,100,120,90,460
#0123,Scyther (/pokemon/scyther),bug | flying,Swarm (/abilitydex/swarm.shtml) | Technician (/abilitydex/technician.shtml) | Steadfast (/abilitydex/steadfast.shtml),70,110,80,55,80,105,500
#0124,Jynx (/pokemon/jynx),ice | psychic,Oblivious (/abilitydex/oblivious.shtml) | Forewarn (/abilitydex/forewarn.shtml) | Dry Skin (/abilitydex/dryskin.shtml),65,50,35,115,95,95,455
#0125,Electabuzz (/pokemon/electabuzz),electric,Static (/abilitydex/static.shtml) | Vital Spirit (/abilitydex/vitalspirit.shtml),65,83,57,95,85,105,490
#0126,Magmar (/pokemon/magmar),fire,Flame Body (/abilitydex/flamebody.shtml) | Vital Spirit (/abilitydex/vitalspirit.shtml),65,95,57,100,85,93,495
#0127,Pinsir (/pokemon/pinsir),bug,Hyper Cutter (/abilitydex/hypercutter.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml) | Moxie (/abilitydex/moxie.shtml),65,125,100,55,70,85,500
#0128,Tauros (/pokemon/tauros),normal,Intimidate (/abilitydex/intimidate.shtml) | Anger Point (/abilitydex/angerpoint.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),75,100,95,40,70,110,490
#0129,Magikarp (/pokemon/magikarp),water,Swift Swim (/abilitydex/swiftswim.shtml) | Rattled (/abilitydex/rattled.shtml),20,10,55,15,20,80,200
#0130,Gyarados (/pokemon/gyarados),water | flying,Intimidate (/abilitydex/intimidate.shtml) | Moxie (/abilitydex/moxie.shtml),95,125,79,60,100,81,540
#0131,Lapras (/pokemon/lapras),water | ice,Water Absorb (/abilitydex/waterabsorb.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Hydration (/abilitydex/hydration.shtml),130,85,80,85,95,60,535
#0132,Ditto (/pokemon/ditto),normal,Limber (/abilitydex/limber.shtml) | Imposter (/abilitydex/imposter.shtml),48,48,48,48,48,48,288
#0133,Eevee (/pokemon/eevee),normal,Run Away (/abilitydex/runaway.shtml) | Adaptability (/abilitydex/adaptability.shtml) | Anticipation (/abilitydex/anticipation.shtml),55,55,50,45,65,55,325
#0134,Vaporeon (/pokemon/vaporeon),water,Water Absorb (/abilitydex/waterabsorb.shtml) | Hydration (/abilitydex/hydration.shtml),130,65,60,110,95,65,525
#0135,Jolteon (/pokemon/jolteon),electric,Volt Absorb (/abilitydex/voltabsorb.shtml) | Quick Feet (/abilitydex/quickfeet.shtml),65,65,60,110,95,130,525
#0136,Flareon (/pokemon/flareon),fire,Flash Fire (/abilitydex/flashfire.shtml) | Guts (/abilitydex/guts.shtml),65,130,60,95,110,65,525
#0137,Porygon (/pokemon/porygon),normal,Trace (/abilitydex/trace.shtml) | Download (/abilitydex/download.shtml) | Analytic (/abilitydex/analytic.shtml),65,60,70,85,75,40,395
#0138,Omanyte (/pokemon/omanyte),rock | water,Swift Swim (/abilitydex/swiftswim.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),35,40,100,90,55,35,355
#0139,Omastar (/pokemon/omastar),rock | water,Swift Swim (/abilitydex/swiftswim.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),70,60,125,115,70,55,495
#0140,Kabuto (/pokemon/kabuto),rock | water,Swift Swim (/abilitydex/swiftswim.shtml) | Battle Armor (/abilitydex/battlearmor.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),30,80,90,55,45,55,355
